Abun[] Month1[] Month2[] TDay1[] TDay2[] Wind2[] Site[] 
232 -1.22906325111185 1.51059647523362 -0.476847777674187 0.227383803072811 2 1
235 -0.85029533095788 0.723002149848771 -1.31884925897275 1.73936336789298 3 1
191 -0.471527410803916 0.222338099139445 -1.31884925897275 1.73936336789298 3 1
207 -0.471527410803916 0.222338099139445 1.20715518492294 1.45722364048634 4 1
236 -0.471527410803916 0.222338099139445 -1.31884925897275 1.73936336789298 4 1
155 -0.0927594906499507 0.00860432310563829 0.78615444427366 0.618038810251227 4 1
242 -0.0927594906499507 0.00860432310563829 0.365153703624378 0.133337227270600 4 1
195 -0.0927594906499507 0.00860432310563829 2.04915666622151 4.19904304272004 4 1
196 0.286008429504014 0.0818008217473527 1.62815592557223 2.65089171797595 4 1
236 0.286008429504014 0.0818008217473527 -0.0558470370249048 0.00311889154446109 3 1
229 0.286008429504014 0.0818008217473527 1.62815592557223 2.65089171797595 3 1
269 0.286008429504014 0.0818008217473527 -0.89784851832347 0.80613196185565 1 1
341 0.664776349657979 0.441927595064588 0.78615444427366 0.618038810251227 4 1
319 0.664776349657979 0.441927595064588 -0.89784851832347 0.80613196185565 4 1
278 0.664776349657979 0.441927595064588 0.78615444427366 0.618038810251227 3 1
183 0.664776349657979 0.441927595064588 -0.89784851832347 0.80613196185565 3 1
230 1.04354426981194 1.08898464305734 1.20715518492294 1.45722364048634 1 1
242 1.04354426981194 1.08898464305734 -1.31884925897275 1.73936336789298 4 1
145 1.04354426981194 1.08898464305734 -0.0558470370249048 0.00311889154446109 2 1
87 1.04354426981194 1.08898464305734 -1.73984999962203 3.02707802118479 1 1
148 1.04354426981194 1.08898464305734 0.365153703624378 0.133337227270600 4 1
66 1.42231218996591 2.02297196572562 0.365153703624378 0.133337227270600 4 1
68 1.80108011011987 3.24388956306942 -0.476847777674187 0.227383803072811 1 1
61 -2.36536701157374 5.59496109944129 -0.89784851832347 0.80613196185565 3 1
34 -1.98659909141978 3.94657595002988 1.62815592557223 2.65089171797595 2 1
139 -1.60783117126581 2.58512107529399 0.365153703624378 0.133337227270600 4 1
171 -0.85029533095788 0.723002149848771 1.20715518492294 1.45722364048634 4 1
217 -0.85029533095788 0.723002149848771 -0.0558470370249048 0.00311889154446109 1 1
222 -0.471527410803916 0.222338099139445 -0.89784851832347 0.80613196185565 4 1
143 -0.471527410803916 0.222338099139445 -1.73984999962203 3.02707802118479 4 1
163 -0.0927594906499507 0.00860432310563829 0.78615444427366 0.618038810251227 3 1
250 -0.0927594906499507 0.00860432310563829 -0.476847777674187 0.227383803072811 3 1
208 -0.0927594906499507 0.00860432310563829 -1.31884925897275 1.73936336789298 3 1
260 0.286008429504014 0.0818008217473527 -0.89784851832347 0.80613196185565 4 1
270 0.286008429504014 0.0818008217473527 -1.31884925897275 1.73936336789298 4 1
315 0.664776349657979 0.441927595064588 2.04915666622151 4.19904304272004 2 1
203 0.664776349657979 0.441927595064588 -1.73984999962203 3.02707802118479 1 1
33 1.04354426981194 1.08898464305734 -1.73984999962203 3.02707802118479 2 1
211 1.04354426981194 1.08898464305734 0.365153703624378 0.133337227270600 1 1
109 1.42231218996591 2.02297196572562 -0.476847777674187 0.227383803072811 3 1
87 -2.36536701157374 5.59496109944129 1.20715518492294 1.45722364048634 1 1
142 -1.60783117126581 2.58512107529399 0.365153703624378 0.133337227270600 1 1
